Date,Description,Category,Amount,Type
2024-12-20,Sales Transaction,Sales,2256.01,Income
2024-09-10,Office Supplies Transaction,Office Supplies,-1978.31,Expense
2024-07-21,Services Transaction,Services,544.93,Income
2024-08-11,Services Transaction,Services,3187.24,Income
2024-09-05,Utilities Transaction,Utilities,-1653.96,Expense
2024-03-13,Commission Transaction,Commission,497.93,Income
2024-12-03,Payroll Transaction,Payroll,-3481.75,Expense
2024-10-21,Services Transaction,Services,4624.82,Income
2024-05-02,Services Transaction,Services,735.43,Income
2024-05-29,Insurance Transaction,Insurance,-987.78,Expense
2024-12-09,Advertising Transaction,Advertising,-3835.04,Expense
2024-01-26,Rent Transaction,Rent,-3381.7,Expense
2024-02-09,Payroll Transaction,Payroll,-2824.5,Expense
2024-10-24,Rent Transaction,Rent,-755.92,Expense
2024-02-27,Office Supplies Transaction,Office Supplies,-3944.85,Expense
2024-02-26,Office Supplies Transaction,Office Supplies,-521.55,Expense
2024-06-09,Commission Transaction,Commission,3971.54,Income
2024-01-13,Advertising Transaction,Advertising,-4281.27,Expense
2024-05-30,Rent Transaction,Rent,-982.86,Expense
2024-10-31,Rent Transaction,Rent,-4526.23,Expense
2024-09-08,Sales Transaction,Sales,2262.81,Income
2024-05-21,Insurance Transaction,Insurance,-996.94,Expense
2024-06-13,Services Transaction,Services,1445.35,Income
2024-05-05,Utilities Transaction,Utilities,-1643.96,Expense
2024-09-26,Investments Transaction,Investments,3892.78,Income
2024-01-08,Investments Transaction,Investments,3918.57,Income
2024-07-21,Commission Transaction,Commission,2307.42,Income
2024-06-21,Commission Transaction,Commission,2556.83,Income
2024-07-09,Investments Transaction,Investments,4370.44,Income
2024-09-10,Travel Transaction,Travel,-3945.58,Expense
2024-01-01,Insurance Transaction,Insurance,-413.29,Expense
2024-08-31,Services Transaction,Services,840.72,Income
2024-11-15,Utilities Transaction,Utilities,-391.02,Expense
2024-12-24,Investments Transaction,Investments,3764.36,Income
2024-08-01,Utilities Transaction,Utilities,-4283.59,Expense
2024-08-10,Investments Transaction,Investments,1345.5,Income
2024-01-18,Commission Transaction,Commission,4900.03,Income
2024-11-16,Commission Transaction,Commission,3731.31,Income
2024-02-05,Commission Transaction,Commission,4908.67,Income
2024-01-27,Payroll Transaction,Payroll,-2511.81,Expense
2024-12-08,Investments Transaction,Investments,4119.47,Income
2024-09-28,Sales Transaction,Sales,3561.11,Income
2024-02-22,Sales Transaction,Sales,1936.99,Income
2024-03-29,Advertising Transaction,Advertising,-2746.21,Expense
2024-12-25,Services Transaction,Services,4397.29,Income
2024-05-13,Payroll Transaction,Payroll,-1187.06,Expense
2024-02-06,Office Supplies Transaction,Office Supplies,-4424.32,Expense
2024-10-01,Travel Transaction,Travel,-4915.78,Expense
2024-08-08,Office Supplies Transaction,Office Supplies,-4239.72,Expense
2024-04-25,Services Transaction,Services,4247.63,Income
